"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"X18,X1,A18,A1";"BackPlated_TH";4;"BackPlated_TH";;;
2;"Hole1,Hole3,Hole4,Hole2";"2mm_DrillHole";4;"2mm_DrillHole";;;
3;"Drill2,Drill1";"3mm_DrillHole";2;"3mm_DrillHole";;;
4;"SW2";"SW_Micro_SPST";1;"AuxToChorus";;;
5;"SW4";"SW_Micro_SPST";1;"KorgToChorus";;;
6;"SW7";"SW_Micro_SPST";1;"LFO2 Sel";;;
7;"C1,C3,C4";"200Mil_TH_C";3;"47n";;;
8;"C5,C26,C50";"200Mil_TH_CP";3;"1µ";;;
9;"C6,C47";"200Mil_TH_C";2;"0.1µ";;;
10;"C14,C15";"200Mil_TH_CP";2;"10µ";;;
11;"D1,D8";"400Mil_TH_Diode";2;"2v2";;;
12;"D7,D9";"400Mil_TH_Diode";2;"1N4148";;;
13;"R1,R5,R6";"400Mil_TH_Resistor";3;"22K";;;
14;"R2,R27,R28";"400Mil_TH_Resistor";3;"33K";;;
15;"R7,R18";"300Mil_TH_Resistor";2;"1K";;;
16;"R8,R19";"300Mil_TH_Resistor";2;"470";;;
17;"R9,R15";"400Mil_TH_Resistor";2;"470";;;
18;"R10";"300Mil_TH_Resistor";1;"5.1K";;;
19;"R11";"400Mil_TH_Resistor";1;"5.1K";;;
20;"R14,R78";"400Mil_TH_Resistor";2;"100K";;;
21;"R17";"300Mil_TH_Resistor";1;"1.5M";;;
22;"R23,R25";"400Mil_TH_Resistor";2;"18K";;;
23;"R59";"400Mil_TH_Resistor";1;"10K";;;
24;"R61";"400Mil_TH_Resistor";1;"4.7K";;;
25;"R74";"300Mil_TH_Resistor";1;"12K";;;
26;"R75";"300Mil_TH_Resistor";1;"1M";;;
27;"R76";"400Mil_TH_Resistor";1;"220K";;;
28;"R77";"400Mil_TH_Resistor";1;"1.5M";;;
29;"RV2,RV3";"Potentiometer_Alps-RK16-single";2;"B100K";;;
30;"RV5";"Potentiometer_Alps-RK16-single";1;"B1M";;;
31;"U1";"300Mil_TH_DIP14";1;"TL084";;;
